date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:13:23	103/103	---MCZ	200	added ('OK')	text/plain	date:Mon,%2028%20Nov%202022%2004:13:22%20GMT	https://kd1s.com/robots.txt		(from )
07:13:23	41777/41777	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Nov%202022%2004:13:22%20GMT	https://kd1s.com/	C:/Users/KaaJ/Downloads/kd1/kd1s.com/index.html	(from )
07:13:24	30323/30323	---M--	200	added ('OK')	image/png	etag:%2260e5dcce-7673%22	https://cdn.mypanel.link/56cc9e/jiwglz2c1sunr5kf.png	C:/Users/KaaJ/Downloads/kd1/cdn.mypanel.link/56cc9e/jiwglz2c1sunr5kf.png	(from https://kd1s.com/)
07:13:25	192787/192787	---MCZ	200	added ('OK')	text/css	etag:W/%225f876b68-2f113%22	https://cdn.mypanel.link/56cc9e/364rhxjkwb6dieje.css	C:/Users/KaaJ/Downloads/kd1/cdn.mypanel.link/56cc9e/364rhxjkwb6dieje.css	(from https://kd1s.com/)
07:13:25	26176/26176	---MCZ	200	added ('OK')	text/css	etag:W/%226264ed92-6640%22	https://cdn.mypanel.link/56cc9e/n8caepay1qb2q63d.css	C:/Users/KaaJ/Downloads/kd1/cdn.mypanel.link/56cc9e/n8caepay1qb2q63d.css	(from https://kd1s.com/)
07:13:25	7785/7785	---MCZ	200	added ('OK')	text/css	etag:W/%225f3a85b6-1e69%22	https://cdn.mypanel.link/libs/bootstrap-datetimepicker/4.17.47/bootstrap-datetimepicker.min.css	C:/Users/KaaJ/Downloads/kd1/cdn.mypanel.link/libs/bootstrap-datetimepicker/4.17.47/bootstrap-datetimepicker.min.css	(from https://kd1s.com/)
07:13:25	174333/174333	---MCZ	200	added ('OK')	text/css	etag:W/%225fa3cb41-2a8fd%22	https://cdn.mypanel.link/css/font-awesome/css/all.min.css	C:/Users/KaaJ/Downloads/kd1/cdn.mypanel.link/css/font-awesome/css/all.min.css	(from https://kd1s.com/)
07:13:26	17909/17909	---MCZ	200	added ('OK')	text/css	etag:W/%226267b96d-45f5%22	https://cdn.mypanel.link/global/c3gyq3shygmabbke.css	C:/Users/KaaJ/Downloads/kd1/cdn.mypanel.link/global/c3gyq3shygmabbke.css	(from https://kd1s.com/)
07:13:26	23679/23679	---M--	200	added ('OK')	image/png	etag:%225f871f4b-5c7f%22	https://cdn.mypanel.link/56cc9e/ikpkqfo930o3mqzq.png	C:/Users/KaaJ/Downloads/kd1/cdn.mypanel.link/56cc9e/ikpkqfo930o3mqzq.png	(from https://kd1s.com/)
07:13:27	13498/13498	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Nov%202022%2004:13:26%20GMT	https://kd1s.com/sign-up	C:/Users/KaaJ/Downloads/kd1/kd1s.com/sign-up.html	(from https://kd1s.com/)
07:13:27	5963172/5963172	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Nov%202022%2004:13:26%20GMT	https://kd1s.com/services	C:/Users/KaaJ/Downloads/kd1/kd1s.com/services.html	(from https://kd1s.com/)
07:13:28	21444/21444	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Nov%202022%2004:13:28%20GMT	https://kd1s.com/faq	C:/Users/KaaJ/Downloads/kd1/kd1s.com/faq.html	(from https://kd1s.com/)
07:13:29	93174/93174	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Nov%202022%2004:13:28%20GMT	https://kd1s.com/apikd1s	C:/Users/KaaJ/Downloads/kd1/kd1s.com/apikd1s.html	(from https://kd1s.com/)
07:13:29	14914/14914	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Nov%202022%2004:13:28%20GMT	https://kd1s.com/contact	C:/Users/KaaJ/Downloads/kd1/kd1s.com/contact.html	(from https://kd1s.com/)
07:13:29	11897/11897	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Nov%202022%2004:13:29%20GMT	https://kd1s.com/zns	C:/Users/KaaJ/Downloads/kd1/kd1s.com/zns.html	(from https://kd1s.com/)
07:13:29	30153/30153	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Nov%202022%2004:13:29%20GMT	https://kd1s.com/terms	C:/Users/KaaJ/Downloads/kd1/kd1s.com/terms.html	(from https://kd1s.com/)
07:13:30	13773/13773	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Nov%202022%2004:13:29%20GMT	https://kd1s.com/about	C:/Users/KaaJ/Downloads/kd1/kd1s.com/about.html	(from https://kd1s.com/)
07:13:30	38546/38546	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Nov%202022%2004:13:29%20GMT	https://kd1s.com/ku	C:/Users/KaaJ/Downloads/kd1/kd1s.com/ku.html	(from https://kd1s.com/)
